id,type,quantity,price_2025_03_31,price_2025_04_30,value_2025_03_31,value_2025_04_30,return_apr_pct,contribution_pp
LREN3,stock,1642,12.2300,14.6100,20081.66,23989.62,19.46,0.990
MRFG3,stock,1504,18.0600,21.4800,27162.24,32305.92,18.94,1.303
AZZA3,stock,193,24.5000,31.8400,4728.50,6145.12,29.96,0.359
HAPV3,stock,1547,2.2100,2.3200,3418.87,3589.04,4.98,0.043
FUNDS_BUCKET,fund,,,,224092.96,229524.20,2.42,1.376
CDB_C6_SET2024,fixed_income,,,,40478.75,40478.75,0.00,0.000
CASH_BRL,cash,,,,74672.62,74672.62,0.00,0.000
__TOTAL_PATRIMONIO__,,,,,394635.60,410705.27,4.07,4.07
__TOTAL_INVESTIDO__,,,,,319962.98,336032.65,5.02,
__CDI_ABR__,benchmark,,,,,,1.06,
__IBOV_ABR__,benchmark,,,,,,3.69,
__BENCH_75CDI_25IBOV__,benchmark,,,,,,1.71,
