variable_id,label,unit,year,value_raw,value,is_projection,portfolio_relevant,source,prose_check,note
pib,Crescimento do PIB (var. real %),% a.a.,2018,"1,8",1.8,False,True,Projeções XP (tabela),,
pib,Crescimento do PIB (var. real %),% a.a.,2019,"1,2",1.2,False,True,Projeções XP (tabela),,
pib,Crescimento do PIB (var. real %),% a.a.,2020,"-3,3",-3.3,False,True,Projeções XP (tabela),,
pib,Crescimento do PIB (var. real %),% a.a.,2021,"4,8",4.8,False,True,Projeções XP (tabela),,
pib,Crescimento do PIB (var. real %),% a.a.,2022,"3,0",3.0,False,True,Projeções XP (tabela),,
pib,Crescimento do PIB (var. real %),% a.a.,2023,"3,2",3.2,False,True,Projeções XP (tabela),,
pib,Crescimento do PIB (var. real %),% a.a.,2024,"3,6",3.6,True,True,Projeções XP (tabela),,
pib,Crescimento do PIB (var. real %),% a.a.,2025,"2,0",2.0,True,True,Projeções XP (tabela),"confere com o texto (2,0)",
pib,Crescimento do PIB (var. real %),% a.a.,2026,"1,0",1.0,True,True,Projeções XP (tabela),"confere com o texto (1,0)",
desemprego,"Taxa de desemprego (%, dessaz., fim de período)",%,2018,"12,1",12.1,False,False,Projeções XP (tabela),,
desemprego,"Taxa de desemprego (%, dessaz., fim de período)",%,2019,"11,5",11.5,False,False,Projeções XP (tabela),,
desemprego,"Taxa de desemprego (%, dessaz., fim de período)",%,2020,"14,7",14.7,False,False,Projeções XP (tabela),,
desemprego,"Taxa de desemprego (%, dessaz., fim de período)",%,2021,"11,7",11.7,False,False,Projeções XP (tabela),,
desemprego,"Taxa de desemprego (%, dessaz., fim de período)",%,2022,"8,3",8.3,False,False,Projeções XP (tabela),,
desemprego,"Taxa de desemprego (%, dessaz., fim de período)",%,2023,"7,6",7.6,False,False,Projeções XP (tabela),,
desemprego,"Taxa de desemprego (%, dessaz., fim de período)",%,2024,"6,5",6.5,True,False,Projeções XP (tabela),"confere com o texto (6,5)",
desemprego,"Taxa de desemprego (%, dessaz., fim de período)",%,2025,"7,0",7.0,True,False,Projeções XP (tabela),"confere com o texto (7,0)",
desemprego,"Taxa de desemprego (%, dessaz., fim de período)",%,2026,"7,8",7.8,True,False,Projeções XP (tabela),,
ipca,IPCA (var. 12m %),% a.a.,2018,"3,8",3.8,False,True,Projeções XP (tabela),,
ipca,IPCA (var. 12m %),% a.a.,2019,"4,3",4.3,False,True,Projeções XP (tabela),,
ipca,IPCA (var. 12m %),% a.a.,2020,"4,5",4.5,False,True,Projeções XP (tabela),,
ipca,IPCA (var. 12m %),% a.a.,2021,"10,1",10.1,False,True,Projeções XP (tabela),,
ipca,IPCA (var. 12m %),% a.a.,2022,"5,8",5.8,False,True,Projeções XP (tabela),,
ipca,IPCA (var. 12m %),% a.a.,2023,"4,6",4.6,False,True,Projeções XP (tabela),,
ipca,IPCA (var. 12m %),% a.a.,2024,"4,8",4.8,True,True,Projeções XP (tabela),,
ipca,IPCA (var. 12m %),% a.a.,2025,"6,1",6.1,True,True,Projeções XP (tabela),"confere com o texto (6,1)",
ipca,IPCA (var. 12m %),% a.a.,2026,"4,5",4.5,True,True,Projeções XP (tabela),"confere com o texto (4,5)",
selic,"SELIC (% a.a, fim de período)",% a.a.,2018,"6,50",6.5,False,True,Projeções XP (tabela),,
selic,"SELIC (% a.a, fim de período)",% a.a.,2019,"4,50",4.5,False,True,Projeções XP (tabela),,
selic,"SELIC (% a.a, fim de período)",% a.a.,2020,"2,00",2.0,False,True,Projeções XP (tabela),,
selic,"SELIC (% a.a, fim de período)",% a.a.,2021,"9,25",9.25,False,True,Projeções XP (tabela),,
selic,"SELIC (% a.a, fim de período)",% a.a.,2022,"13,75",13.75,False,True,Projeções XP (tabela),,
selic,"SELIC (% a.a, fim de período)",% a.a.,2023,"11,75",11.75,False,True,Projeções XP (tabela),,
selic,"SELIC (% a.a, fim de período)",% a.a.,2024,"12,25",12.25,True,True,Projeções XP (tabela),,
selic,"SELIC (% a.a, fim de período)",% a.a.,2025,"15,50",15.5,True,True,Projeções XP (tabela),"confere com o texto (15,50)",
selic,"SELIC (% a.a, fim de período)",% a.a.,2026,"12,50",12.5,True,True,Projeções XP (tabela),,
cambio,"Taxa de Câmbio (R$/US$, fim de período)",R$/US$,2018,"3,87",3.87,False,True,Projeções XP (tabela),,
cambio,"Taxa de Câmbio (R$/US$, fim de período)",R$/US$,2019,"4,03",4.03,False,True,Projeções XP (tabela),,
cambio,"Taxa de Câmbio (R$/US$, fim de período)",R$/US$,2020,"5,20",5.2,False,True,Projeções XP (tabela),,
cambio,"Taxa de Câmbio (R$/US$, fim de período)",R$/US$,2021,"5,58",5.58,False,True,Projeções XP (tabela),,
cambio,"Taxa de Câmbio (R$/US$, fim de período)",R$/US$,2022,"5,28",5.28,False,True,Projeções XP (tabela),,
